temperatura_c,umidade_pct,luz_adc,saudavel
19.3,65.7,2309,1
25.0,28.0,1724,0
8.8,61.5,2042,0
20.8,94.1,1302,0
19.6,71.4,2388,1
6.6,59.9,1051,0
16.4,69.9,2161,1
21.8,75.1,1803,1
19.9,28.2,3062,0
18.8,93.5,1058,0
16.8,70.1,1990,1
22.4,27.3,3479,0
32.1,58.9,3580,0
19.8,68.8,1954,1
17.9,77.3,1559,1
20.7,76.2,2351,1
23.3,62.3,1938,1
18.8,28.7,3418,0
34.7,55.1,1096,0
16.1,69.2,1793,1
20.7,34.2,2240,0
23.7,68.0,1750,1
23.4,62.5,1374,1
19.3,66.0,1025,1
21.0,75.0,1680,1
36.2,61.2,815,0
18.3,73.1,1131,1
7.7,61.7,1700,0
31.4,58.7,3842,0
18.0,92.5,1553,0
21.7,24.4,2195,0
16.3,90.9,860,0
26.1,23.7,1489,0
23.3,69.5,1912,1
9.7,63.8,404,0
20.3,65.4,1849,1
25.4,31.9,3266,0
34.5,52.5,1988,0
25.7,25.4,2565,0
25.0,70.7,1942,1
18.8,73.2,1835,1
30.0,61.3,1776,0
19.0,72.6,1782,1
21.1,76.9,1423,1
21.1,32.5,2333,0
26.9,32.8,3267,0
11.8,95.2,1902,0
21.9,61.7,2031,1
17.3,92.1,596,0
19.8,72.1,1931,1
18.4,64.3,1950,1
32.5,44.0,1149,0
34.5,56.4,3557,0
23.9,60.5,1923,1
20.4,95.0,1185,0
21.5,70.3,2799,1
23.0,68.1,1345,1
18.2,29.2,1551,0
35.4,55.8,3562,0
30.0,62.7,2306,0
20.0,67.1,1709,1
19.0,64.4,1360,1
16.6,35.2,3498,0
17.8,95.3,796,0
34.7,39.9,2163,0
21.8,69.5,2151,1
33.4,56.6,3595,0
8.5,76.8,1546,0
18.9,66.6,1914,1
35.1,54.7,3081,0
32.6,54.8,2286,0
22.0,65.4,1940,1
23.6,69.2,1589,1
26.1,90.5,1775,0
22.1,74.9,1327,1
34.7,37.8,1630,0
19.2,71.1,2205,1
19.6,25.5,961,0
15.4,72.4,1993,1
17.1,68.8,1146,1
19.4,65.1,2385,1
19.4,93.2,1235,0
19.2,68.9,1157,1
23.5,93.7,524,0
28.8,30.9,820,0
21.2,33.9,1489,0
18.2,71.4,2043,1
19.4,65.8,1753,1
4.9,60.1,787,0
16.7,60.0,1369,1
8.7,54.9,2300,0
5.4,70.6,1614,0
19.0,80.0,1550,1
7.0,65.7,1411,0
25.7,35.2,2600,0
17.1,60.6,1226,1
15.6,72.4,2284,1
19.6,70.2,1436,1
19.8,64.1,1529,1
19.7,70.3,2116,1
27.0,92.7,767,0
21.2,67.7,2801,1
8.6,77.6,1063,0
32.9,55.5,3093,0
9.3,69.7,943,0
17.8,68.4,1996,1
25.0,34.9,2717,0
20.7,66.6,2129,1
23.8,37.4,1223,0
19.2,72.5,2949,1
7.5,62.2,384,0
21.0,75.2,2431,1
25.0,63.2,1818,1
2.2,59.4,1869,0
30.0,48.9,2649,0
22.2,64.8,2354,1
7.8,50.1,1625,0
16.0,67.7,1958,1
20.0,75.1,2230,1
22.4,68.4,1807,1
23.5,25.7,3155,0
20.2,27.8,2658,0
21.0,60.2,1934,1
4.8,71.3,2482,0
17.0,34.3,1202,0
35.1,46.1,1986,0
25.1,33.7,2792,0
9.6,50.3,879,0
19.4,67.6,1913,1
9.0,57.0,307,0
34.0,68.8,1168,0
30.0,58.0,1662,0
18.2,90.8,1655,0
18.7,94.4,603,0
9.6,62.2,2430,0
20.5,64.9,2212,1
9.5,61.5,2123,0
19.1,29.2,1257,0
22.5,74.2,2016,1
33.1,50.5,2028,0
24.6,74.3,2606,1
32.1,60.3,1096,0
16.9,60.0,1587,1
25.9,94.3,1066,0
17.0,26.5,1400,0
20.5,28.7,1195,0
26.4,27.7,3311,0
19.4,68.4,1858,1
24.1,65.1,1464,1
7.1,63.5,529,0
19.0,67.4,2318,1
18.5,77.8,1628,1
30.0,53.1,4018,0
17.5,78.2,1534,1
17.7,64.4,2296,1
21.9,25.7,2398,0
30.4,55.7,686,0
22.0,20.9,1565,0
16.0,71.1,2220,1
7.9,65.6,1224,0
20.6,60.0,2202,1
19.1,91.4,1294,0
5.5,61.3,400,0
21.6,72.2,2123,1
16.8,71.9,1846,1
18.9,80.0,1760,1
9.3,69.6,2194,0
25.0,61.9,3000,1
19.6,67.3,1475,1
30.6,54.4,2392,0
27.0,24.3,3168,0
21.5,68.3,1821,1
17.5,75.9,2171,1
31.8,62.7,1698,0
19.5,75.5,2011,1
17.4,69.5,1541,1
25.0,60.0,1914,1
7.0,60.2,2081,0
17.5,32.5,2733,0
20.2,60.7,2072,1
22.0,70.5,1594,1
20.4,63.3,1485,1
21.5,90.0,355,0
18.1,63.0,1784,1
18.6,72.4,1767,1
22.9,32.9,2952,0
34.9,54.3,851,0
34.4,49.7,3978,0
7.0,59.5,2056,0
25.0,67.2,1773,1
16.4,62.0,2118,1
24.5,15.7,1691,0
18.9,69.7,1721,1
16.9,77.7,1336,1
6.1,71.7,281,0
34.2,48.7,1165,0
2.2,57.8,236,0
19.7,61.5,2071,1
21.6,72.6,2620,1
25.0,78.1,1780,1
15.6,78.8,1443,1
16.5,70.0,2150,1
20.8,73.9,2187,1
24.2,91.0,627,0
10.0,67.2,1011,0
22.4,66.9,1959,1
4.6,51.8,1254,0
32.4,40.8,630,0
26.7,39.2,2165,0
34.0,43.8,2687,0
8.2,59.0,2101,0
6.1,66.2,774,0
17.7,95.9,735,0
20.9,73.5,1034,1
18.5,90.0,1142,0
18.5,70.0,2433,1
23.3,95.1,1813,0
19.1,75.6,2021,1
3.3,57.2,958,0
19.2,66.7,1500,1
24.1,22.3,2557,0
7.6,64.3,1462,0
23.2,92.2,1191,0
3.3,69.9,1453,0
21.9,24.9,1053,0
24.7,69.4,2368,1
18.0,96.1,767,0
31.9,48.7,1010,0
7.0,73.2,860,0
23.3,30.8,2900,0
19.1,61.9,1665,1
18.8,72.4,2264,1
6.4,64.6,2076,0
16.7,67.1,2891,1
20.2,62.9,1925,1
21.1,70.9,1787,1
19.7,90.0,1800,0
20.8,62.3,1527,1
16.3,63.8,2115,1
6.3,73.0,1437,0
24.9,96.7,1779,0
31.8,47.0,3433,0
18.1,90.4,1560,0
35.3,52.9,874,0
21.5,31.4,2265,0
20.3,69.5,1788,1
15.6,64.7,1822,1
18.7,90.0,1739,0
19.6,80.0,1513,1
30.0,58.3,1424,0
25.0,70.3,1095,1
18.0,34.4,3050,0
19.6,77.1,1000,1
19.3,71.7,2543,1
21.9,76.4,2168,1
20.3,73.8,1715,1
21.1,72.0,2219,1
21.6,95.3,1670,0
20.9,69.0,2509,1
35.1,43.7,1061,0
22.5,71.6,1659,1
22.3,91.4,1319,0
20.9,76.8,1769,1
17.7,93.1,1155,0
21.0,70.7,2055,1
5.8,55.7,770,0
8.2,66.6,1395,0
31.2,67.6,3991,0
25.0,80.0,1845,1
31.6,50.0,2601,0
21.6,76.4,2365,1
21.8,32.9,1068,0
21.3,70.7,2631,1
21.1,71.7,2919,1
20.4,67.2,1990,1
19.1,67.3,2209,1
18.3,64.2,2299,1
21.8,69.9,2275,1
20.6,61.3,1276,1
22.5,76.8,1873,1
17.6,65.4,1601,1
5.5,63.1,757,0
18.4,71.6,1748,1
23.3,66.3,1734,1
18.8,67.5,2504,1
17.4,69.5,1695,1
23.1,29.7,1459,0
23.2,91.4,345,0
20.8,91.1,1327,0
17.7,66.4,1850,1
19.5,25.7,1360,0
31.5,62.0,2954,0
30.0,53.6,2612,0
17.4,77.4,2907,1
21.3,91.0,405,0
25.9,36.0,2456,0
20.7,71.4,1737,1
20.8,68.2,1688,1
17.8,60.0,2076,1
22.8,38.6,1494,0
21.8,79.4,2431,1
22.6,30.6,2713,0
20.2,77.2,1714,1
7.3,69.0,2385,0
17.5,94.9,533,0
20.6,68.8,2029,1
8.1,60.7,1067,0
35.4,52.5,933,0
24.4,28.2,1900,0
15.8,61.5,2399,1
30.0,39.2,3062,0
18.9,74.8,1842,1
9.5,52.8,259,0
34.0,51.6,3203,0
22.1,72.3,1710,1
23.1,28.1,2430,0
21.2,71.1,2179,1
20.2,71.7,2230,1
19.7,95.0,541,0
19.6,72.0,1941,1
18.5,72.0,2304,1
35.9,56.6,1590,0
23.6,78.9,1623,1
17.1,80.0,2145,1
16.2,93.7,1636,0
19.0,79.0,1873,1
20.3,93.4,1892,0
19.7,67.5,2058,1
21.1,69.9,1527,1
20.0,68.6,2010,1
18.7,68.3,2448,1
32.1,50.2,1439,0
32.5,58.9,1911,0
15.9,73.8,1879,1
19.6,68.0,2256,1
31.9,61.1,1560,0
19.3,62.8,1710,1
25.0,77.2,1887,1
34.3,72.7,2307,0
21.5,74.3,2606,1
32.3,59.7,2578,0
21.4,74.8,1752,1
20.8,70.6,2300,1
22.8,74.5,1934,1
22.1,74.0,2263,1
22.2,95.6,1708,0
33.1,51.1,1937,0
17.1,74.3,2038,1
21.1,74.1,2477,1
5.1,63.5,601,0
9.4,57.2,969,0
3.5,61.1,1788,0
21.1,60.0,2226,1
17.9,60.0,2590,1
17.7,61.1,2150,1
25.0,66.5,1877,1
23.3,63.6,1982,1
19.2,72.7,2467,1
18.5,71.7,1287,1
20.1,71.5,2803,1
18.8,71.4,1676,1
23.4,25.8,2320,0
17.5,65.2,1735,1
24.8,72.3,2000,1
23.4,40.0,1324,0
20.9,29.1,1119,0
8.2,66.4,1651,0
26.2,28.8,2188,0
33.0,53.1,2665,0
4.8,62.2,1680,0
10.0,57.8,1626,0
30.0,47.1,1877,0
22.0,61.5,1953,1
7.0,74.0,935,0
30.0,61.6,1631,0
18.4,79.0,2336,1
23.5,94.8,343,0
20.1,93.9,1125,0
22.2,69.3,2530,1
19.4,71.4,2586,1
26.2,28.0,2721,0
20.8,22.7,1294,0
24.4,72.8,2358,1
23.9,60.0,2015,1
20.6,77.2,1916,1
20.7,68.5,1606,1
18.4,65.5,1966,1
4.4,52.7,257,0
20.2,72.2,1784,1
34.1,57.2,1437,0
17.4,80.0,2199,1
17.6,92.9,1953,0
16.9,93.1,1886,0
7.3,71.5,1067,0
26.5,29.4,3020,0
19.2,91.2,618,0
17.1,74.8,1762,1
3.3,67.1,1670,0
16.8,79.7,1259,1
17.2,71.4,2579,1
15.8,65.9,2103,1
19.6,73.5,1690,1
18.0,60.3,2034,1
7.9,63.1,376,0
19.4,71.8,1551,1
22.8,65.2,1928,1
16.3,65.7,2021,1
16.6,73.3,2142,1
15.0,76.4,1767,1
20.7,69.4,1481,1
3.8,61.5,1388,0
25.0,63.1,2485,1
23.7,63.2,1746,1
5.2,70.5,803,0
20.4,72.1,2648,1
17.0,67.8,2024,1
15.0,69.6,1672,1
19.1,76.3,1194,1
17.9,72.1,1296,1
15.4,92.6,923,0
33.3,49.1,2367,0
17.2,96.5,1452,0
23.8,91.0,1998,0
32.9,54.2,3729,0
18.7,74.9,1293,1
19.8,73.5,2439,1
20.7,90.0,380,0
20.8,90.0,1585,0
20.9,61.4,1373,1
21.6,75.0,2241,1
17.2,66.8,2476,1
20.6,73.1,2120,1
16.7,72.7,1730,1
22.9,66.2,2027,1
30.8,69.2,1422,0
21.3,70.0,1875,1
20.6,92.8,1313,0
16.7,32.8,3162,0
18.1,95.3,1127,0
17.7,75.2,1899,1
18.7,70.3,1452,1
30.0,46.8,2859,0
20.4,65.5,2318,1
15.6,74.7,2225,1
20.7,93.6,1135,0
17.3,79.2,1501,1
17.3,60.0,2560,1
19.0,74.7,2923,1
16.0,91.4,640,0
22.1,73.1,1994,1
24.0,68.2,1405,1
7.5,45.5,1944,0
19.1,68.2,1869,1
21.2,95.9,1487,0
17.9,72.7,2119,1
21.0,72.2,1722,1
10.0,62.0,1237,0
16.5,67.6,1817,1
24.5,33.8,3463,0
20.8,69.2,2954,1
18.7,94.7,1834,0
18.0,70.5,1587,1
22.2,73.1,1802,1
18.2,94.6,829,0
18.0,70.0,2044,1
20.4,72.0,2070,1
19.5,95.3,1067,0
24.7,93.8,1354,0
17.3,73.2,1606,1
23.5,93.1,1768,0
19.2,72.2,1648,1
17.8,65.0,2682,1
8.6,75.9,1293,0
20.7,80.0,2308,1
18.7,70.4,2246,1
34.2,57.9,1862,0
8.4,67.2,294,0
19.7,60.3,2714,1
7.1,55.5,1051,0
7.7,67.3,1706,0
19.8,96.3,1433,0
28.1,30.7,2454,0
18.9,68.6,2039,1
6.9,52.1,1266,0
32.2,58.1,2234,0
21.3,30.0,3312,0
14.1,100.0,867,0
19.5,65.2,1411,1
17.6,68.7,1987,1
21.7,21.9,1031,0
17.9,76.1,2261,1
19.9,25.0,1388,0
20.1,71.3,1372,1
19.2,69.2,1912,1
22.7,68.1,2366,1
20.6,75.0,1996,1
33.3,40.5,3868,0
24.0,69.3,2406,1
19.4,69.1,2108,1
9.2,55.5,981,0
15.0,73.8,1912,1
20.2,27.3,3000,0
21.1,66.0,2103,1
6.4,71.6,2165,0
15.0,64.5,2094,1
32.4,59.2,2265,0
21.5,60.0,1678,1
21.1,63.0,1062,1
20.8,72.6,1470,1
19.6,78.1,1843,1
19.0,93.7,344,0
19.2,71.1,1353,1
5.9,70.2,1366,0
8.0,47.2,2106,0
18.9,71.3,2161,1
19.7,63.8,1797,1
20.9,77.3,2386,1
22.5,30.9,1126,0
19.1,65.5,1963,1
21.7,71.6,2067,1
15.9,93.5,1652,0
20.5,69.6,1000,1
20.0,34.2,1339,0
19.1,26.1,831,0
20.9,67.6,2203,1
19.5,60.0,2237,1
16.6,70.3,1570,1
24.3,71.9,1773,1
22.5,98.3,1478,0
16.1,69.2,2479,1
21.0,27.9,1565,0
16.3,76.2,2081,1
33.3,56.3,3321,0
22.1,33.5,1489,0
22.3,76.1,2164,1
22.9,74.7,1627,1
19.0,33.2,830,0
22.1,71.7,1848,1
21.0,64.8,2223,1
21.7,75.7,1766,1
23.7,72.0,2184,1
19.9,90.0,473,0
19.9,78.4,2383,1
18.0,96.8,317,0
16.9,76.8,1357,1
22.2,71.8,2242,1
24.5,21.9,1153,0
35.1,45.2,1429,0
20.9,70.0,1370,1
21.2,63.4,2149,1
22.6,29.2,856,0
17.9,71.8,1363,1
18.2,66.2,2094,1
19.2,66.9,2547,1
23.9,37.0,2358,0
21.6,72.7,2350,1
24.5,95.1,475,0
31.3,45.8,3271,0
23.0,27.7,2082,0
23.8,71.2,2037,1
21.4,73.5,1599,1
22.1,68.9,1000,1
4.8,62.8,801,0
21.4,67.9,1632,1
31.7,51.4,678,0
19.1,27.4,1677,0
21.7,90.0,1615,0
21.5,70.3,2491,1
22.8,77.2,2112,1
18.9,72.4,1639,1
34.3,44.9,3969,0
30.0,51.2,2600,0
7.1,69.1,2378,0
21.0,30.1,2198,0
18.1,68.7,1534,1
7.3,51.4,1482,0
16.9,99.2,1538,0
16.9,73.7,1718,1
20.2,63.1,1905,1
21.2,66.5,2395,1
5.0,64.7,1382,0
26.6,28.8,2955,0
19.1,66.2,1403,1
20.3,71.8,2181,1
33.2,60.0,3906,0
23.9,64.5,2222,1
22.2,66.9,1521,1
28.5,33.2,3265,0
6.8,70.3,2207,0
18.9,79.8,1869,1
19.2,69.9,2038,1
19.8,73.6,1994,1
24.9,100.0,1161,0
23.0,69.5,1843,1
8.0,73.9,1927,0
20.5,74.6,2291,1
7.5,49.7,1886,0
19.1,20.4,3302,0
9.2,56.9,2123,0
30.8,52.3,2193,0
6.9,59.8,1589,0
17.5,68.1,2125,1
1.5,69.3,2254,0
9.3,67.6,1735,0
22.7,70.7,2155,1
21.1,76.6,1708,1
30.0,43.2,1111,0
23.2,31.1,2618,0
21.4,31.7,1220,0
25.0,64.8,1495,1
18.3,67.5,1982,1
20.4,74.2,1750,1
24.8,96.2,991,0
7.7,57.3,1860,0
23.4,75.7,1548,1
23.4,29.9,1785,0
34.3,56.9,1751,0
20.2,68.9,2226,1
23.3,68.6,1289,1
33.9,57.0,3268,0
33.2,56.7,1494,0
21.1,67.9,2329,1
23.0,91.1,619,0
15.0,74.9,1304,1
6.0,71.2,1125,0
23.4,24.6,2297,0
21.7,29.5,2215,0
21.9,71.2,1804,1
21.9,73.8,2128,1
8.0,76.8,786,0
19.2,70.6,2251,1
18.3,80.0,2673,1
21.0,67.2,2531,1
22.7,70.3,3000,1
23.3,66.2,1461,1
20.9,68.0,1455,1
8.0,62.8,1793,0
22.0,60.0,1062,1
35.0,62.4,1435,0
19.4,70.1,2268,1
20.7,94.6,457,0
30.9,44.3,2507,0
34.1,57.4,3092,0
17.8,95.6,1227,0
17.3,93.3,640,0
23.1,29.4,3324,0
23.5,39.6,1881,0
19.1,72.1,2036,1
17.0,72.9,1616,1
17.9,63.6,1448,1
21.9,37.0,3291,0
24.6,69.2,1830,1
33.0,45.4,622,0
22.7,90.5,1284,0
10.0,68.8,1221,0
20.4,64.2,2156,1
20.7,63.5,2589,1
17.7,69.0,1613,1
17.8,70.0,1440,1
23.1,71.3,2164,1
20.6,67.6,1708,1
35.6,56.3,3815,0
25.9,90.6,1228,0
19.6,94.2,1037,0
30.0,49.9,3373,0
25.9,34.4,1072,0
15.0,71.1,1895,1
21.2,71.0,1667,1
25.5,35.4,1460,0
23.3,71.2,2398,1
21.6,71.9,1803,1
16.8,32.0,2701,0
19.2,30.3,1550,0
19.8,60.0,1148,1
15.7,35.9,1211,0
22.1,67.4,2260,1
7.8,75.6,1507,0
17.2,64.5,2311,1
30.0,60.3,544,0
21.2,67.6,2100,1
22.3,67.4,2113,1
4.0,71.3,1465,0
18.8,80.0,2141,1
21.7,71.7,2009,1
22.4,29.5,2452,0
15.0,63.4,2323,1
22.7,67.3,1952,1
32.7,77.9,2883,0
16.6,64.6,2134,1
20.8,65.0,2450,1
15.0,68.4,1824,1
21.1,62.3,2099,1
20.0,90.0,1442,0
17.8,62.9,2028,1
20.1,73.4,2150,1
32.5,48.9,3713,0
27.2,93.8,679,0
4.6,65.1,313,0
20.2,64.2,2256,1
33.8,53.0,3661,0
8.2,74.7,1413,0
29.2,26.8,2570,0
0.9,74.1,2336,0
23.7,71.4,2117,1
20.6,62.2,1918,1
20.5,62.0,2180,1
30.5,56.6,2854,0
25.6,30.5,2948,0
23.7,70.9,1984,1
32.2,49.8,835,0
6.1,77.6,2240,0
20.8,34.4,3473,0
32.7,54.2,2481,0
20.5,34.8,1862,0
25.4,29.3,893,0
19.5,65.1,1007,1
33.2,52.7,1471,0
22.1,70.2,1365,1
20.1,67.1,1429,1
31.6,64.0,2534,0
22.2,73.1,1835,1
23.7,60.0,2158,1
6.6,63.6,228,0
17.8,69.4,2744,1
19.1,64.8,2245,1
15.1,66.8,1739,1
32.5,61.4,1491,0
22.0,35.3,2064,0
16.4,78.3,1681,1
18.6,70.4,2183,1
20.6,90.0,1202,0
23.3,70.5,2259,1
16.4,27.3,1255,0
6.4,47.5,2109,0
6.1,46.4,564,0
31.4,60.3,711,0
19.8,66.9,1915,1
20.8,74.4,2335,1
3.8,64.0,1584,0
21.1,66.9,1201,1
20.4,65.5,1956,1
22.1,65.4,2091,1
15.9,90.0,1926,0
20.5,69.6,2447,1
33.9,59.0,742,0
33.6,67.7,527,0
20.7,79.2,2386,1
31.8,54.7,3246,0
7.2,64.1,1348,0
22.0,64.2,1853,1
21.1,90.2,936,0
15.0,64.9,2175,1
20.9,69.0,1964,1
34.3,57.0,1765,0
18.2,74.1,1572,1
13.9,90.0,567,0
19.0,24.2,2646,0
22.0,68.4,1492,1
19.9,77.3,2529,1
30.0,55.9,3879,0
22.8,68.6,1682,1
5.5,63.5,1756,0
18.6,73.5,2761,1
4.9,61.4,1110,0
14.7,90.0,1107,0
22.1,68.1,2078,1
9.5,49.3,1620,0
22.9,70.2,1924,1
7.5,52.6,1617,0
17.7,91.6,530,0
7.7,58.8,2354,0
17.9,72.9,2247,1
20.4,71.0,2145,1
16.8,71.8,2116,1
10.0,60.9,748,0
16.5,90.0,1101,0
19.1,90.6,1521,0
7.9,67.6,516,0
23.0,91.3,1259,0
21.7,68.6,2349,1
19.9,78.9,2765,1
36.0,48.5,3795,0
35.8,60.3,2906,0
4.4,81.9,481,0
20.1,67.8,1450,1
34.3,61.2,2111,0
20.0,94.4,861,0
33.5,60.9,914,0
8.9,85.8,660,0
20.5,68.2,3000,1
22.2,90.9,1801,0
30.3,63.2,3810,0
7.0,76.8,1615,0
17.6,71.2,1100,1
17.0,73.8,1364,1
22.9,70.6,1906,1
21.9,70.1,1954,1
22.2,25.3,2682,0
18.9,96.2,905,0
24.3,66.3,1731,1
18.7,63.9,2734,1
19.8,90.0,365,0
7.6,54.5,1340,0
34.0,62.3,979,0
23.3,69.7,2490,1
16.2,70.5,1750,1
15.4,77.9,1813,1
16.0,71.9,2220,1
16.7,21.7,3012,0
21.5,40.0,2553,0
32.2,55.8,1672,0
23.2,91.1,1697,0
18.3,68.2,1788,1
22.1,71.1,2136,1
20.5,69.3,2027,1
22.7,76.6,2395,1
22.5,74.3,1797,1
16.3,30.4,3040,0
21.1,76.8,2331,1
20.9,73.6,1275,1
19.3,68.6,1089,1
21.7,70.8,1931,1
19.6,63.7,2590,1
20.5,72.4,1769,1
20.9,70.4,2050,1
19.9,34.8,1675,0
24.9,23.5,1911,0
6.8,72.8,1295,0
26.1,32.8,3163,0
20.6,71.2,1399,1
18.5,91.8,414,0
21.1,64.1,2131,1
20.6,33.4,1146,0
7.2,56.2,1449,0
21.7,38.6,2387,0
20.6,70.1,1635,1
21.3,67.9,2291,1
22.3,64.4,2045,1
18.3,94.0,878,0
17.3,67.2,2389,1
21.1,94.7,967,0
19.7,69.8,1623,1
19.3,60.0,2298,1
17.9,64.4,2228,1
33.5,58.8,3513,0
37.0,67.3,1996,0
21.5,90.0,1260,0
21.4,65.0,1418,1
17.6,69.6,1720,1
6.0,65.7,2185,0
21.6,92.4,1253,0
33.4,63.0,2527,0
18.7,68.0,1526,1
19.5,25.1,2806,0
19.6,90.5,859,0
17.2,61.1,1251,1
19.8,93.6,445,0
26.9,94.1,1503,0
19.1,96.1,1144,0
16.2,72.6,1069,1
26.3,31.5,1218,0
27.0,33.8,1138,0
22.7,96.1,1889,0
12.5,96.2,421,0
5.4,77.7,450,0
20.9,72.1,2584,1
17.6,76.2,1848,1
34.4,65.5,1637,0
20.5,90.0,834,0
25.0,73.7,1306,1
8.0,57.9,1917,0
30.7,59.7,926,0
16.3,34.8,3261,0
6.0,60.7,1965,0
10.0,70.3,2386,0
15.7,32.0,2031,0
19.1,96.1,1471,0
15.8,64.9,1483,1
20.0,32.9,2254,0
21.5,33.4,2638,0
21.2,74.2,1934,1
20.6,73.5,2321,1
25.0,70.2,2329,1
19.5,32.3,1214,0
7.3,65.8,2175,0
21.8,69.7,2301,1
17.9,71.6,2018,1
23.4,73.1,1695,1
31.2,44.3,2869,0
17.1,68.4,2443,1
22.4,93.0,929,0
26.0,29.6,3106,0
31.8,56.0,3831,0
19.4,64.9,2476,1
19.2,64.5,2120,1
17.4,68.5,2224,1
19.0,73.2,1431,1
18.6,94.3,1765,0
17.0,63.8,2260,1
23.7,93.8,435,0
33.8,64.5,2237,0
20.9,97.8,1041,0
20.8,64.4,1652,1
20.0,61.6,2912,1
17.0,72.2,1898,1
19.7,69.1,2010,1
24.9,70.5,2214,1
33.5,49.7,1045,0
17.5,70.2,1841,1
19.2,77.9,2132,1
6.5,65.1,1203,0
18.9,35.5,2808,0
6.1,58.4,1994,0
19.8,60.5,2028,1
34.3,68.6,652,0
27.1,92.8,1671,0
23.5,24.8,1505,0
18.9,94.6,796,0
20.6,69.7,1658,1
30.0,56.3,3157,0
19.1,65.7,1539,1
21.8,32.5,1199,0
19.3,64.8,1728,1
19.6,70.1,1898,1
22.9,40.0,2404,0
19.3,68.9,2054,1
19.5,35.8,3296,0
22.3,37.5,2897,0
6.6,70.0,200,0
31.8,58.1,3221,0
16.6,92.0,840,0
19.2,90.0,1256,0
21.0,70.9,1690,1
31.2,44.1,2031,0
25.8,39.2,2392,0
23.9,36.4,3158,0
17.9,73.3,1943,1
4.2,51.7,1760,0
31.4,43.4,1430,0
24.8,97.0,1867,0
19.6,72.6,1707,1
18.5,79.0,2130,1
23.8,90.0,339,0
19.3,24.0,2572,0
15.0,68.2,1905,1
22.1,67.9,2505,1
21.8,27.1,2620,0
22.9,27.7,2925,0
21.9,92.4,1808,0
30.2,60.0,3461,0
15.0,75.7,2719,1
20.5,70.2,2499,1
33.1,52.7,2904,0
20.7,60.7,1789,1
7.7,45.9,2275,0
20.3,27.9,3385,0
19.0,75.3,1927,1
10.0,73.0,486,0
20.7,69.9,2682,1
15.0,70.2,1571,1
13.6,92.8,497,0
19.6,69.7,1978,1
20.5,60.0,1991,1
20.2,71.7,1918,1
9.2,46.0,2489,0
17.3,80.0,2930,1
18.6,90.7,897,0
16.0,71.9,1952,1
10.0,60.4,517,0
18.3,64.3,2011,1
33.0,59.4,1678,0
17.4,67.1,1805,1
18.5,64.8,1729,1
32.1,55.8,2329,0
17.2,35.1,3181,0
19.6,98.5,870,0
20.8,74.9,2201,1
35.0,54.9,3986,0
27.4,95.1,513,0
18.3,72.6,2524,1
32.2,50.8,1846,0
33.9,46.3,3716,0
20.0,26.5,2592,0
36.1,56.7,1453,0
30.8,55.2,673,0
19.7,90.8,497,0
19.9,95.1,1645,0
5.7,57.9,876,0
30.0,58.1,2001,0
20.2,30.5,1105,0
18.1,70.0,2683,1
35.8,51.1,1447,0
23.1,70.7,2084,1
23.5,69.1,2450,1
22.7,90.4,1942,0
15.8,78.6,1844,1
31.3,40.5,3151,0
21.0,94.7,321,0
19.9,70.6,1744,1
16.4,66.1,2338,1
17.7,27.3,1229,0
18.1,62.5,1577,1
30.5,56.1,1737,0
8.4,57.1,647,0
8.0,59.4,1135,0
